stock,count
UHS,1259
ULTA,1259
UNH,1259
UNM,1259
UNP,1259
UPS,1259
URI,1259
USB,1259
UTX,1259
V,1259
VAR,1259
VFC,1259
VIAB,1259
VLO,1259
VMC,1259
VNO,1259
VRSK,1259
VRSN,1259
VRTX,1259
VTR,1259
VZ,1259
WAT,1259
WBA,1259
WDC,1259
WEC,1259
WFC,1259
WHR,1259
WLTW,528
WM,1259
WMB,1259
WMT,1259
WRK,662
WU,1259
WY,1259
WYN,1259
WYNN,1259
XEC,1259
XEL,1259
XL,1259
XLNX,1259
XOM,1259
XRAY,1259
XRX,1259
XYL,1259
YUM,1259
ZBH,1259
ZION,1259
ZTS,1259
